哪位球員在2016年總決賽帶領騎士逆轉勇士奪冠？ | LeBron James | Kevin Love | Kyrie Irving | JR Smith | 0
柯比布萊恩單場最高得分是幾分？ | 62分 | 71分 | 81分 | 91分 | 2
哪位球員被稱為「大鯊魚」？ | Patrick Ewing | David Robinson | Shaquille O'Neal | Dwight Howard | 2
2011年NBA總冠軍是哪支球隊？ | 熱火 | 湖人 | 小牛 | 馬刺 | 2
史蒂芬柯瑞在哪一年獲得首次MVP？ | 2014 | 2015 | 2016 | 2017 | 1
哪位球員單季投進最多三分球？ | Ray Allen | Klay Thompson | James Harden | Stephen Curry | 3
提姆鄧肯生涯效力幾支球隊？ | 1支 | 2支 | 3支 | 4支 | 0
2008年奧運美國隊教練是誰？ | Mike Krzyzewski | Gregg Popovich | Jerry Sloan | Phil Jackson | 0
哪位球員保持單場助攻紀錄30次？ | Magic Johnson | Scott Skiles | John Stockton | Steve Nash | 1
勇士隊73勝創紀錄是哪一個賽季？ | 2014-15 | 2015-16 | 2016-17 | 2017-18 | 1
哪位球員綽號「The Glove」？ | Gary Payton | Clyde Drexler | Mitch Richmond | Joe Dumars | 0
馬刺隊在2014年總冠軍擊敗哪支球隊？ | 雷霆 | 熱火 | 快艇 | 勇士 | 1
哪位球員生涯總得分超過38000分？ | LeBron James | Karl Malone | Kobe Bryant | Michael Jordan | 0
2019年NBA總冠軍是哪支球隊？ | 勇士 | 暴龍 | 湖人 | 公鹿 | 1
艾倫艾佛森是哪一年選秀狀元？ | 1995 | 1996 | 1997 | 1998 | 1
哪位球員保持單場籃板紀錄55個？ | Bill Russell | Wilt Chamberlain | Dennis Rodman | Moses Malone | 1
勒布朗詹姆斯第一次奪冠是哪一年？ | 2011 | 2012 | 2013 | 2014 | 1
哪支球隊在1990年代兩度三連霸？ | 湖人 | 馬刺 | 公牛 | 賽爾提克 | 2
德克諾威斯基來自哪個國家？ | 法國 | 西班牙 | 德國 | 義大利 | 2
2020年NBA總冠軍在哪裡舉行？ | 洛杉磯 | 邁阿密 | 奧蘭多泡泡 | 拉斯維加斯 | 2
哪位球員單場得分100分？ | Michael Jordan | Kobe Bryant | Wilt Chamberlain | Elgin Baylor | 2
凱文賈奈特2008年轉隊到哪支球隊奪冠？ | 湖人 | 賽爾提克 | 熱火 | 快艇 | 1
哪位球員被稱為「大夢」？ | Patrick Ewing | Hakeem Olajuwon | David Robinson | Alonzo Mourning | 1
約翰史塔克頓生涯助攻總數超過多少？ | 10000次 | 12000次 | 15000次 | 18000次 | 2
2017年NBA總決賽MVP是誰？ | Stephen Curry | Kevin Durant | Klay Thompson | Draymond Green | 1
哪位球員綰號「白巧克力」？ | Steve Nash | Jason Williams | John Stockton | Chris Paul | 1
賈霸生涯總得分是多少？ | 36419分 | 38387分 | 40000分 | 35000分 | 1
2010年NBA選秀狀元是誰？ | John Wall | Derrick Rose | Kyrie Irving | Blake Griffin | 0
拉塞爾衛斯布魯克在哪一年拿下MVP？ | 2015 | 2016 | 2017 | 2018 | 2
哪支球隊在2004年擊敗湖人奪冠？ | 馬刺 | 活塞 | 熱火 | 網隊 | 1
克雷湯普森單場三分球紀錄是幾顆？ | 11顆 | 12顆 | 13顆 | 14顆 | 3
哪位球員綽號「The Truth」？ | Paul Pierce | Ray Allen | Vince Carter | Tracy McGrady | 0
姚明是哪一年NBA選秀狀元？ | 2000 | 2001 | 2002 | 2003 | 2
尼可拉約基奇來自哪個國家？ | 克羅埃西亞 | 塞爾維亞 | 斯洛維尼亞 | 希臘 | 1
2006年NBA總冠軍是哪支球隊？ | 馬刺 | 小牛 | 熱火 | 活塞 | 2
魔術強森生涯效力哪支球隊？ | 湖人 | 賽爾提克 | 公牛 | 活塞 | 0
哪位球員保持單場抄截紀錄11次？ | Gary Payton | John Stockton | Kendall Gill | Allen Iverson | 2
2003年NBA選秀被稱為什麼選秀年？ | 黃金世代 | 白金世代 | 鑽石世代 | 傳奇世代 | 0
德懷特霍華德幾次當選年度最佳防守球員？ | 1次 | 2次 | 3次 | 4次 | 2
克里斯保羅綽號是什麼？ | CP1 | CP2 | CP3 | CP4 | 2
2015年NBA總冠軍是哪支球隊？ | 騎士 | 勇士 | 馬刺 | 雷霆 | 1
哪位球員單賽季場均籃板超過27個？ | Bill Russell | Wilt Chamberlain | Dennis Rodman | Moses Malone | 1
雷阿倫生涯三分球總數超過多少？ | 2500顆 | 2700顆 | 2973顆 | 3100顆 | 2
賈索潘迪來自哪個國家？ | 西班牙 | 義大利 | 法國 | 阿根廷 | 0
2013年NBA總決賽第六戰雷阿倫關鍵三分球幫助哪隊？ | 賽爾提克 | 熱火 | 馬刺 | 公鹿 | 1
哪位球員綽號「The Mailman」？ | Karl Malone | Charles Barkley | Patrick Ewing | David Robinson | 0
約基奇在哪一輪被選中？ | 第一輪 | 第二輪 | 落選 | 第三輪 | 1
文斯卡特NBA生涯效力過幾支球隊？ | 5支 | 6支 | 7支 | 8支 | 3
揚尼斯安戴托昆波來自哪個國家？ | 奈及利亞 | 希臘 | 土耳其 | 法國 | 1
2007年NBA選秀前三順位不包括誰？ | Greg Oden | Kevin Durant | Al Horford | Derrick Rose | 3
哪支球隊在1980年代獲得五次總冠軍？ | 湖人 | 賽爾提克 | 活塞 | 76人 | 0
史蒂芬柯瑞父親是誰？ | Dell Curry | Reggie Miller | Mitch Richmond | Clyde Drexler | 0
2009年NBA選秀狀元是誰？ | James Harden | Blake Griffin | Stephen Curry | DeMar DeRozan | 1
哪位球員保持單場阻攻紀錄17次？ | Hakeem Olajuwon | Patrick Ewing | Elton Brand | Mark Eaton | 3
保羅喬治在2014年受了什麼重傷？ | 十字韌帶 | 腳踝骨折 | 小腿斷裂 | 阿基里斯腱 | 2
2005年NBA選秀狀元是誰？ | Chris Paul | Deron Williams | Andrew Bogut | Dwight Howard | 2
哪位球員綽號「Durantula」？ | Kevin Durant | Kevin Garnett | Kevin Love | Kevin Martin | 0
菲爾傑克森總共獲得幾枚冠軍戒指？ | 9枚 | 11枚 | 13枚 | 15枚 | 2
帕克東尼來自哪個國家？ | 比利時 | 法國 | 西班牙 | 瑞士 | 1
2012年NBA選秀狀元是誰？ | Anthony Davis | Michael Kidd-Gilchrist | Bradley Beal | Damian Lillard | 0
哪位球員被稱為「Captain」？ | Kareem Abdul-Jabbar | Bill Russell | Willis Reed | Michael Jordan | 0
雷霆隊原本在哪個城市？ | 溫哥華 | 西雅圖 | 聖地牙哥 | 堪薩斯城 | 1
