1962年威爾特張伯倫單場100分是對哪支球隊？ | 尼克 | 湖人 | 賽爾提克 | 活塞 | 0
哪位球員在1986年季後賽單場得63分對抗賽爾提克？ | Dominique Wilkins | Michael Jordan | Isiah Thomas | Larry Bird | 1
NBA歷史上首位三雙王是誰？ | Magic Johnson | Oscar Robertson | Wilt Chamberlain | John Havlicek | 1
1970年總決賽第七戰威利斯里德帶傷上陣效力哪隊？ | 尼克 | 湖人 | 賽爾提克 | 76人 | 0
哪位球員單季場均助攻14.5次創下紀錄？ | Magic Johnson | John Stockton | Isiah Thomas | Kevin Porter | 2
1992年夢幻隊在奧運決賽擊敗哪個國家？ | 立陶宛 | 克羅埃西亞 | 俄羅斯 | 西班牙 | 1
哪位球員在2006年季後賽連續四場得分超過40分？ | Kobe Bryant | Allen Iverson | LeBron James | Dwyane Wade | 2
1951年NBA首次全明星賽在哪個城市舉行？ | 紐約 | 波士頓 | 費城 | 華盛頓 | 1
馬刺隊1997年選秀抽中鄧肯是用誰的首輪籤？ | 自己的 | 賽爾提克 | 勇士 | 超音速 | 0
2004年活塞奪冠時的先發中鋒是誰？ | Ben Wallace | Rasheed Wallace | Mehmet Okur | Chris Webber | 0
哪位球員在1988年灌籃大賽從罰球線起跳灌籃？ | Dominique Wilkins | Michael Jordan | Spud Webb | Clyde Drexler | 1
1969年總決賽第七戰湖人輸給賽爾提克幾分？ | 1分 | 2分 | 3分 | 4分 | 1
丹尼斯羅德曼連續幾年獲得籃板王？ | 5年 | 6年 | 7年 | 8年 | 2
1995年選秀哪位球員在第五順位被選中？ | Kevin Garnett | Rasheed Wallace | Jerry Stackhouse | Joe Smith | 1
米勒時刻8.9秒得8分是在哪一年？ | 1994 | 1995 | 1996 | 1997 | 1
2002年西區決賽湖人對國王第六戰爭議判決在哪位裁判手中？ | Dick Bavetta | Joe Crawford | Danny Crawford | Bennett Salvatore | 0
哪位球員在1994年總決賽平均7次抄截？ | Gary Payton | John Stockton | Hakeem Olajuwon | Clyde Drexler | 2
1980年總決賽第六戰新秀魔術強森代替誰打中鋒？ | Kareem | James Worthy | Norm Nixon | Michael Cooper | 0
里克巴里職業生涯罰球命中率是多少？ | 88.6% | 89.3% | 90.0% | 91.2% | 2
1993年總決賽約翰帕克森關鍵三分是公牛第幾冠？ | 第二冠 | 第三冠 | 第四冠 | 第五冠 | 1
哪位球員在1987年用「嬰兒天鉤」絕殺賽爾提克？ | Magic Johnson | James Worthy | Michael Cooper | Byron Scott | 0
2013年熱火27連勝被哪支球隊終結？ | 公牛 | 溜馬 | 公鹿 | 騎士 | 0
哪位球員單場罰球命中28次創紀錄？ | Wilt Chamberlain | Moses Malone | Adrian Dantley | Dominique Wilkins | 2
1976年ABA併入NBA時有幾支球隊加入？ | 3支 | 4支 | 5支 | 6支 | 1
湖人隊在1972年創下連勝紀錄是幾場？ | 30場 | 31場 | 32場 | 33場 | 3
1997年總決賽第五戰喬丹「流感之戰」得幾分？ | 35分 | 38分 | 40分 | 42分 | 1
哪位球員在2011年季後賽場均37.4分帶隊奪冠？ | Dirk Nowitzki | Dwyane Wade | LeBron James | Paul Pierce | 0
比爾羅素生涯獲得幾枚冠軍戒指？ | 9枚 | 10枚 | 11枚 | 13枚 | 2
1998年總決賽第六戰喬丹最後一投絕殺前偷誰的球？ | Karl Malone | John Stockton | Jeff Hornacek | Byron Russell | 0
2016年勇士季後賽3-1領先被逆轉輸給哪隊？ | 騎士 | 雷霆 | 馬刺 | 快艇 | 0
哪位球員在1986年季後賽單場20籃板15助攻？ | Magic Johnson | Michael Jordan | Larry Bird | Charles Barkley | 2
1983年76人奪冠時的主教練是誰？ | Billy Cunningham | Jack Ramsay | Billy Pizzitola | Pat Riley | 0
馬努吉諾比利在2002年選秀第幾順位？ | 第47順位 | 第52順位 | 第57順位 | 第59順位 | 2
1994年火箭第七戰擊敗尼克奪冠時哈基姆得幾分？ | 21分 | 23分 | 25分 | 27分 | 2
2007年馬刺橫掃騎士奪冠時誰獲FMVP？ | Tim Duncan | Tony Parker | Manu Ginobili | Bruce Bowen | 1
哪位球員在2000年西區決賽第七戰帶傷砍41分？ | Kobe Bryant | Shaquille O'Neal | Reggie Miller | Jalen Rose | 0
1989年活塞「壞孩子軍團」奪冠擊敗哪隊？ | 湖人 | 公牛 | 賽爾提克 | 拓荒者 | 0
比爾沃頓在1977年總決賽場均多少籃板？ | 16.2個 | 17.5個 | 18.5個 | 19.2個 | 2
2012年雷霆闖進總決賽時的三巨頭不包括誰？ | Kevin Durant | Russell Westbrook | James Harden | Serge Ibaka | 3
1991年公牛首次奪冠擊敗哪支球隊？ | 湖人 | 拓荒者 | 太陽 | 爵士 | 0
哪位球員在1996年選秀第13順位被選中？ | Steve Nash | Peja Stojakovic | Kobe Bryant | Jermaine O'Neal | 2
2010年總決賽第七戰湖人勝賽爾提克幾分？ | 1分 | 2分 | 3分 | 4分 | 3
1985年選秀首輪第三順位是誰？ | Chris Mullin | Detlef Schrempf | Charles Oakley | Karl Malone | 0
哪位球員在2009年季後賽首輪場均51分對抗塞爾提克？ | LeBron James | Dwyane Wade | Dwight Howard | Chris Paul | 0
魔術強森在1991年宣布感染HIV時幾歲？ | 30歲 | 31歲 | 32歲 | 33歲 | 2
1999年縮水賽季常規賽打幾場？ | 48場 | 50場 | 52場 | 54場 | 1
2005年總決賽馬刺擊敗活塞時誰獲FMVP？ | Tim Duncan | Tony Parker | Manu Ginobili | Robert Horry | 0
1975年勇士隊奪冠時的主教練是誰？ | Al Attles | Don Nelson | Billy Pizzitola | Bill Cunningham | 0
哪位球員在1992年總決賽第一節投進6顆三分？ | Michael Jordan | Clyde Drexler | Dan Marley | John Paxson | 0
2017年總決賽凱文杜蘭特場均得幾分？ | 33.2分 | 34.5分 | 35.2分 | 36.8分 | 2
1984年選秀首輪第三順位是誰？ | Michael Jordan | Charles Barkley | Sam Bowie | John Stockton | 2
1979年選秀魔術強森是第幾順位？ | 第1順位 | 第2順位 | 第3順位 | 第5順位 | 0
哪位球員保持季後賽單場55籃板紀錄？ | Bill Russell | Wilt Chamberlain | Wes Unseld | Nate Thurmond | 1
1990年活塞奪冠時的FMVP是誰？ | Isiah Thomas | Joe Dumars | Dennis Rodman | Bill Laimbeer | 0
艾佛森在2001年總決賽第一戰對湖人得幾分？ | 46分 | 48分 | 50分 | 52分 | 1
1987年湖人奪冠時誰獲FMVP？ | Magic Johnson | Kareem Abdul-Jabbar | James Worthy | Michael Cooper | 0
1978年超音速隊奪冠時的主教練是誰？ | Dennis Johnson | Lenny Wilkens | Billy Pizzitola | Lenny Wilkens | 3
2003年選秀第三順位是誰？ | LeBron James | Darko Milicic | Carmelo Anthony | Chris Paul | 2
哪位球員在1988年選秀第17順位被選中？ | Reggie Miller | Mookie Blaylock | Rick Smith | Steve Kerr | 0
2006年韋德總決賽場均罰球幾次？ | 13.8次 | 14.5次 | 15.2次 | 16.2次 | 3
1993年太陽對公牛總決賽第三戰三延長賽得幾分？ | 42分 | 44分 | 46分 | 48分 | 1
哪位球員在1981年總決賽場均27.4分帶領賽爾提克奪冠？ | Larry Bird | Cedric Maxwell | Robert Parish | Nate Archibald | 1
1996年公牛創72勝紀錄時總教練是誰？ | Phil Jackson | Doug Collins | Tim Floyd | Bill Cartwright | 0
2011年總決賽小牛擊敗熱火時誰獲FMVP？ | Dirk Nowitzki | Jason Terry | Shawn Marion | Jason Kidd | 0
1986年選秀首輪第七順位是誰？ | Chris Washburn | Roy Tarpley | Brad Daugherty | Kenny Walker | 2
哪位球員在2000年全明星賽得到37分獲MVP？ | Kobe Bryant | Shaquille O'Neal | Tim Duncan | Kevin Garnett | 2
1973年尼克隊第二次奪冠時的FMVP是誰？ | Willis Reed | Walt Frazier | Walt Bellamy | Earl Monroe | 0
麥可喬丹在1984年選秀前誰先被選走？ | Hakeem Olajuwon & Sam Bowie | 只有歐拉朱萬 | 只有山姆鮑威 | Charles Barkley | 0
1995年火箭第六人是誰幫助奪冠？ | Sam Cassell | Robert Horry | Mario Elie | Clyde Drexler | 1
2014年馬刺總決賽場均幾次助攻創紀錄？ | 23.8次 | 24.5次 | 25.2次 | 26.0次 | 2
1968年選秀首輪第一順位是誰？ | Wes Unseld | Elvin Hayes | Wally Jones | Bob Kauffman | 1
哪位球員在1997年全明星賽得44分獲MVP？ | Michael Jordan | Karl Malone | Grant Hill | Scottie Pippen | 2
1982年湖人對76人總決賽第六戰誰得42分？ | Magic Johnson | Kareem Abdul-Jabbar | James Worthy | Norm Nixon | 0
哪位球員在1971年總決賽場均20籃板獲FMVP？ | Kareem Abdul-Jabbar | Oscar Robertson | Lucius Allen | Bob Dandridge | 0
1992年選秀首輪第一順位是誰？ | Shaquille O'Neal | Alonzo Mourning | Christian Laettner | Jim Jackson | 0
2008年賽爾提克總決賽第四戰保羅皮爾斯得幾分？ | 39分 | 41分 | 43分 | 45分 | 1
1967年76人奪冠時張伯倫場均多少籃板？ | 27.2個 | 28.5個 | 29.1個 | 30.2個 | 2
哪位球員在1983年全明星賽得24分15助攻獲MVP？ | Isiah Thomas | Magic Johnson | Julius Erving | Moses Malone | 1
1994年選秀首輪第一順位是誰？ | Grant Hill | Jason Kidd | Glenn Robinson | Jamal Mashburn | 2
2009年湖人奪冠時科比場均得幾分？ | 30.2分 | 31.5分 | 32.4分 | 33.8分 | 2
1974年賽爾提克奪冠時的主教練是誰？ | Tom Heinsohn | Billy Pizzitola | Red Auerbach | KC Jones| 0
哪位球員在1988年總決賽第七戰得25分20籃板獲FMVP？ | Isiah Thomas | Joe Dumars | James Worthy | Michael Cooper | 2
1999年馬刺奪冠時誰獲FMVP？ | Tim Duncan | David Robinson | Avery Johnson | Sean Elliott | 0
2015年勇士總決賽場均幾次三分球？ | 10.2次 | 11.5次 | 12.8次 | 13.7次 | 2
1980年選秀首輪第一順位是誰？ | Joe Barry Carroll | Darrell Griffith | Kevin McHale | Andrew Toney | 0
哪位球員在2004年全明星賽得42分獲MVP？ | Kobe Bryant | Shaquille O'Neal | Kevin Garnett | Tim Duncan | 1
